project,table,variable
BiB_AgeOfWonder,recruitment_dr24,aow_person_id
BiB_AgeOfWonder,recruitment_dr24,BiBPersonID
BiB_AgeOfWonder,recruitment_dr24,is_bib
BiB_AgeOfWonder,recruitment_dr24,aow_recruitment_id
BiB_AgeOfWonder,recruitment_dr24,birth_year
BiB_AgeOfWonder,recruitment_dr24,birth_month
BiB_AgeOfWonder,recruitment_dr24,recruitment_era
BiB_AgeOfWonder,recruitment_dr24,recruitment_date
BiB_AgeOfWonder,recruitment_dr24,recruitment_year
BiB_AgeOfWonder,recruitment_dr24,recruitment_month
BiB_AgeOfWonder,recruitment_dr24,age_recruitment_y
BiB_AgeOfWonder,recruitment_dr24,age_recruitment_m
BiB_AgeOfWonder,recruitment_dr24,school_id
BiB_AgeOfWonder,recruitment_dr24,year_group
BiB_AgeOfWonder,recruitment_dr24,form_tutor_id
BiB_AgeOfWonder,recruitment_dr24,gender
BiB_AgeOfWonder,recruitment_dr24,ethnicity_1
BiB_AgeOfWonder,recruitment_dr24,ethnicity_2
BiB_AgeOfWonder,recruitment_dr24,fsm
BiB_AgeOfWonder,recruitment_dr24,sen
BiB_AgeOfWonder,recruitment_dr24,LSOA11CD
BiB_AgeOfWonder,recruitment_dr24,IMD_2019_decile
BiB_AgeOfWonder,recruitment_dr24,IMD_2019_score
BiB_AgeOfWonder,recruitment_dr24,has_survey_m231
BiB_AgeOfWonder,recruitment_dr24,has_survey_m232
BiB_AgeOfWonder,recruitment_dr24,has_survey_m1
BiB_AgeOfWonder,recruitment_dr24,has_survey_m2
BiB_AgeOfWonder,recruitment_dr24,has_survey_m3
BiB_AgeOfWonder,recruitment_dr24,has_survey_m4
BiB_AgeOfWonder,recruitment_dr24,has_survey
BiB_AgeOfWonder,recruitment_dr24,has_bioimp
BiB_AgeOfWonder,recruitment_dr24,has_bp
BiB_AgeOfWonder,recruitment_dr24,has_skinfld
BiB_AgeOfWonder,recruitment_dr24,has_htwt
BiB_AgeOfWonder,recruitment_dr24,has_measure
BiB_AgeOfWonder,recruitment_dr24,has_data
