project,table,variable
BiBBS_Geographic,bibbs_geog_person,PersonID
BiBBS_Geographic,bibbs_geog_person,ParticipantType
BiBBS_Geographic,bibbs_geog_person,age_m
BiBBS_Geographic,bibbs_geog_person,age_closest_data_point
BiBBS_Geographic,bibbs_geog_person,date
BiBBS_Geographic,bibbs_geog_person,date_address_data_received
BiBBS_Geographic,bibbs_geog_person,months_to_closest_data_received
BiBBS_Geographic,bibbs_geog_person,property_id
BiBBS_Geographic,bibbs_geog_person,move_no
BiBBS_Geographic,bibbs_geog_person,total_moves
BiBBS_Geographic,bibbs_geog_person,LSOA11CD
BiBBS_Geographic,bibbs_geog_person,data_source
BiBBS_Geographic,bibbs_geog_person,not_in_eng_wales
BiBBS_Geographic,bibbs_geog_person,no_historical_address_data
BiBBS_Geographic,bibbs_geog_person,low_qual_data
BiBBS_Geographic,bibbs_geog_person,is_data_interpolated
