project,table,variable
BiB_Education_Record,edrecs_annual_context,BiBPersonID
BiB_Education_Record,edrecs_annual_context,edcont_schoolentry
BiB_Education_Record,edrecs_annual_context,edcont_academicyear
BiB_Education_Record,edrecs_annual_context,edcont_ethnic_origin
BiB_Education_Record,edrecs_annual_context,edcont_ethnic_subcat
BiB_Education_Record,edrecs_annual_context,edcont_eal
BiB_Education_Record,edrecs_annual_context,edcont_fsm
BiB_Education_Record,edrecs_annual_context,edcont_g_t
BiB_Education_Record,edrecs_annual_context,edcont_lac
BiB_Education_Record,edrecs_annual_context,edcont_sen
BiB_Education_Record,edrecs_annual_context,edcont_origschoolname
BiB_Education_Record,edrecs_annual_context,edcont_dfe_school_name
BiB_Education_Record,edrecs_annual_context,edcont_UPRN
BiB_Education_Record,edrecs_annual_context,edcont_URN
BiB_Education_Record,edrecs_annual_context,edcont_schoolstatus
BiB_Education_Record,edrecs_annual_context,edcont_schoolid
BiB_Education_Record,edrecs_annual_context,edcont_psuedoURN
BiB_Education_Record,edrecs_additional_school_info,psuedoURN
BiB_Education_Record,edrecs_additional_school_info,dfe_type
BiB_Education_Record,edrecs_additional_school_info,dfe_type2
BiB_Education_Record,edrecs_additional_school_info,dfe_opened
BiB_Education_Record,edrecs_additional_school_info,dfe_closed
BiB_Education_Record,edrecs_additional_school_info,dfe_phase
BiB_Education_Record,edrecs_additional_school_info,dfe_age_low
BiB_Education_Record,edrecs_additional_school_info,dfe_age_high
BiB_Education_Record,edrecs_additional_school_info,dfe_boarding_school
BiB_Education_Record,edrecs_additional_school_info,dfe_sixth_form
BiB_Education_Record,edrecs_additional_school_info,dfe_gender
BiB_Education_Record,edrecs_additional_school_info,dfe_admissions_policy
BiB_Education_Record,edrecs_additional_school_info,dfe_capacity
BiB_Education_Record,edrecs_additional_school_info,dfe_census_date
BiB_Education_Record,edrecs_additional_school_info,dfe_headcount
BiB_Education_Record,edrecs_additional_school_info,dfe_boys
BiB_Education_Record,edrecs_additional_school_info,dfe_girls
BiB_Education_Record,edrecs_additional_school_info,dfe_fsm
BiB_Education_Record,edrecs_additional_school_info,ofsted_date
BiB_Education_Record,edrecs_additional_school_info,ofsted_rating
BiB_Education_Record,edrecs_additional_school_info,ofsted_idaci
BiB_Education_Record,edrecs_additional_school_info,ofsted_headcount
BiB_Education_Record,edrecs_additional_school_info,ofsted_full_inspection_date
BiB_Education_Record,edrecs_additional_school_info,ofsted_overall
BiB_Education_Record,edrecs_additional_school_info,ofsted_quality_education
BiB_Education_Record,edrecs_additional_school_info,ofsted_behaviour_attitudes
BiB_Education_Record,edrecs_additional_school_info,ofsted_personal_development
BiB_Education_Record,edrecs_additional_school_info,ofsted_effective_leadership
BiB_Education_Record,edrecs_additional_school_info,ofsted_Early_years
BiB_Education_Record,edrecs_additional_school_info,ofsted_sixth_form
BiB_Education_Record,edrecs_eyfsp_1,BiBPersonID
BiB_Education_Record,edrecs_eyfsp_1,has_edrecs_eyfsp_1
BiB_Education_Record,edrecs_eyfsp_1,eyfsp_pre2013_acyrtested
BiB_Education_Record,edrecs_eyfsp_1,eyfsp_pre2013_calc
BiB_Education_Record,edrecs_eyfsp_1,eyfsp_pre2013_cd
BiB_Education_Record,edrecs_eyfsp_1,eyfsp_pre2013_cll
