project,table,variable
BiB_ALL_IN,allin12_pc,BiBPersonID
BiB_ALL_IN,allin12_pc,has_allin12_pc
BiB_ALL_IN,allin12_pc,all12g1add
BiB_ALL_IN,allin12_pc,all12g1ch
BiB_ALL_IN,allin12_pc,all12g1chna
BiB_ALL_IN,allin12_pc,all12g1cr
BiB_ALL_IN,allin12_pc,all12g1croth
BiB_ALL_IN,allin12_pc,all12g1fd
BiB_ALL_IN,allin12_pc,all12g1hm
BiB_ALL_IN,allin12_pc,all12g1hr
BiB_ALL_IN,allin12_pc,all12g1mn
BiB_ALL_IN,allin12_pc,all12g1mnen
BiB_ALL_IN,allin12_pc,all12g1mnena
BiB_ALL_IN,allin12_pc,all12g1mnna
BiB_ALL_IN,allin12_pc,all12g1nme
BiB_ALL_IN,allin12_pc,all12g1pcd
BiB_ALL_IN,allin12_pc,all12g1wk
BiB_ALL_IN,allin12_pc,all12g1wken
BiB_ALL_IN,allin12_pc,all12g1wkena
BiB_ALL_IN,allin12_pc,all12g1wkna
BiB_ALL_IN,allin12_pc,has_all1qs
